state2,states_p_sb,states_p_sheriff,states_p_da,inputstate,states_a_da,2018_GovFlip,2018_LegFlip,2018_SenFlip,2018_HouseFlip,2018Pre_RepubGovControl,2018Pre_DemTriControl,2018Pre_RepTriControl
AL,1,1,1,Alabama,0,0,,,,1,,
AK,0,,,Alaska,1,0,,,,,,
AZ,0,1,1,Arizona,0,0,,,,1,,
AR,0,1,1,Arkansas,0,0,,,,1,,
CA,0,0,0,California,0,0,,,,0,,
CO,0,1,1,Colorado,0,0,,,,0,,
CT,1,,,Connecticut,1,0,,,,0,,
DE,0,1,,Delaware,1,,,,,0,,
FL,0,,1,Florida,0,0,,,,1,,
GA,,1,1,Georgia,0,0,,,,1,,
HI,0,,0,Hawaii,0,0,,,,0,,
ID,0,1,1,Idaho,0,0,,,,1,,
IL,0,1,1,Illinois,0,1,,,,1,,
IN,0,1,1,Indiana,0,,,,,1,,
IA,0,1,1,Iowa,0,0,,,,1,,
KS,0,1,1,Kansas,0,1,,,,1,,
KY,0,1,1,Kentucky,0,,,,,1,,
LA,1,0,1,Louisiana,0,,,,,0,,
ME,0,1,1,Maine,0,1,,,,1,,
MD,0,1,1,Maryland,0,0,,,,1,,
MA,0,1,1,Massachusetts,0,0,,,,1,,
MI,0,1,1,Michigan,0,1,,,,1,,
MN,0,0,0,Minnesota,0,0,,,,0,,
MS,1,1,1,Mississippi,0,,,,,1,,
MO,0,1,1,Missouri,0,,,,,1,,
MT,0,1,1,Montana,0,,,,,0,,
NE,0,1,1,Nebraska,0,0,,,,1,,
NV,0,1,1,Nevada,0,1,,,,1,,
NH,0,1,1,New Hampshire,0,0,,,,1,,
NJ,0,1,,New Jersey,1,,,,,0,,
NM,0,1,1,New Mexico,0,1,,,,1,,
NY,0,1,1,New York,0,0,,,,0,,
NC,,1,1,North Carolina,0,,,,,0,,
ND,0,1,1,North Dakota,0,,,,,1,,
OH,0,1,1,Ohio,0,0,,,,1,,
OK,0,1,1,Oklahoma,0,0,,,,1,,
OR,0,0,0,Oregon,0,0,,,,0,,
PA,1,1,1,Pennsylvania,0,0,,,,0,,
RI,0,,1,Rhode Island,0,0,,,,0,,
SC,0,1,1,South Carolina,0,0,,,,1,,
SD,0,1,1,South Dakota,0,0,,,,1,,
TN,0,0,1,Tennessee,0,0,,,,1,,
TX,0,1,1,Texas,0,0,,,,1,,
UT,0,1,1,Utah,0,,,,,1,,
VT,0,1,1,Vermont,0,0,,,,1,,
VA,0,1,1,Virginia,0,,,,,0,,
WA,0,1,1,Washington,0,,,,,0,,
WV,0,1,1,West Virginia,0,,,,,1,,
WI,0,1,1,Wisconsin,0,1,,,,1,,
WY,0,1,1,Wyoming,0,0,,,,1,,
DC,0,,,District of Columbia,0,,,,,,,